Forename,Male,Female
Husen,100,0
Ijah,0,100
Aam,100,0
Salmah,2,98
Danang,98,2
Pipit,14,86
Syarifuddin,100,0
Yuliati,0,100
Romi,94,6
Iyan,85,15
Sukirman,100,0
Sukamto,100,0
Suyanti,0,100
Ryan,96,4
Ambo,99,1
Irwansyah,100,0
Sudarmi,5,95
Saidah,3,97
Wagiyem,0,100
Rosmawati,1,99
Supinah,0,100
Fatma,1,99
Sariah,0,100
Alfian,94,6
Hesti,0,100
Syamsudin,100,0
Sukadi,100,0
Azis,100,0
Haryati,2,98
Lusiana,0,100
Hasna,1,99
Rodiah,0,100
Lukas,98,2
Hana,1,99
Ribut,70,30
Pendi,100,0
Arie,78,22
Choirul,96,4
Asmawati,3,97
Zakaria,99,1
Suharni,3,97
Imelda,0,100
Tomi,100,0
Roy,89,11
Galih,86,14
Sukarno,100,0
Endi,89,11
Jaya,99,1
Shinta,0,100
Atin,3,97
Jaka,100,0
Karni,9,91
Saman,100,0
Satria,67,33
Sarno,100,0
Kardi,95,5
Warsito,100,0
Darma,22,78
Burhan,100,0
Tedi,100,0
Nurbaiti,0,100
Amri,99,1
Widi,54,46
Suardi,99,1
Ningsih,0,100
Elisabet,0,100
Farid,98,2
Setiawan,98,2
Tia,1,99
Nandang,100,0
Sunarmi,0,100
Mariati,1,99
Darwis,100,0
Saniah,0,100
Triyono,100,0
Dita,3,97
Ike,1,99
Irvan,98,2
Istiqomah,0,100
Mina,1,99
Darman,97,3
Elin,0,100
Harry,89,11
Ratnawati,0,100
Marwan,86,14
Samsiah,0,100
Parti,0,100
Lena,3,97
Cici,4,96
Waluyo,100,0
Tata,25,75
Halima,1,99
Aripin,100,0
Iqbal,100,0
Guntur,100,0
Rosmiati,0,100
Bibit,45,55
Bakri,100,0
Afrizal,100,0
Darmawan,99,1
Regina,0,100
Laila,2,98
Fauziah,2,98
Subur,95,5
Asma,10,90
Frans,100,0
Kasim,100,0
Saipul,100,0
Septian,89,11
Mariah,0,100
Irpan,100,0
Marzuki,99,1
Esti,0,100
Totok,100,0
Masni,23,77
Mutmainah,10,90
Imran,99,1
Sugiyono,100,0
Dessy,0,100
Harianto,98,2
Murtini,0,100
Rohimah,0,100
Ariyanto,97,3
Darwin,100,0
Jhon,100,0
Yan,75,25
Irmawati,1,99
Robby,100,0
Rima,0,100
Aas,60,40
Hindun,0,100
Yenny,3,97
Inah,0,100
Kasmi,15,85
Jaja,92,8
Munawaroh,0,100
Hardi,99,1
Darmawati,2,98
Amah,0,100
Bejo,100,0
Paiman,100,0
Rahmi,4,96
Poniman,100,0
Raden,63,37
Samuel,100,0
Sudarto,100,0
Wagiman,100,0
Syahril,99,1
Setyo,90,10
Yasin,100,0
Karti,0,100
Fitriyani,1,99
Ruminah,0,100
Saeful,100,0
Riyan,97,3
Parno,100,0
Parman,100,0
Husnul,23,77
Waginem,0,100
Karim,97,3
Deri,56,44
Hengki,100,0
Sanah,50,50
Supri,93,7
Risa,3,97
Resti,1,99
Sriyati,0,100
Atang,100,0
Prasetyo,93,7
Mustafa,100,0
